loci1	loci2	loci3	Probability
22	 2	12	   0.138889
 4	 8	 1	   0.112963
 9	 4	 1	   0.098148
 1	 1	 7	   0.094444
 6	 5	 3	   0.059958
 8	 5	 3	   0.050886
14	 8	 2	   0.042523
17	 3	13	   0.031411
10	 7	 6	   0.027778
 6	 5	 2	   0.027079
21	 1	 9	   0.025926
18	 2	14	   0.016667
 3	 1	 7	   0.014815
17	 2	14	   0.014815
 9	 4	 4	   0.014815
 8	 5	 2	   0.013929
13	 1	 7	   0.012963
16	 8	 2	   0.012963
12	 5	 4	   0.012963
 6	 6	 2	   0.011111
14	 3	13	   0.009329
15	 8	 2	   0.009259
24	 2	 8	   0.007407
 3	 8	 2	   0.007407
23	 3	11	   0.007407
17	 8	 2	   0.005626
20	 8	 2	   0.005556
 6	 5	 5	   0.005556
 8	 6	 3	   0.005556
 2	 1	 7	   0.005556
19	 8	 2	   0.005556
 6	 6	 3	   0.003704
 9	 6	 4	   0.003704
 7	 6	 2	   0.003704
22	 6	 4	   0.003704
 9	 4	 3	   0.003704
 7	 6	 3	   0.003704
22	 3	11	   0.003704
 7	 5	 2	   0.003436
 7	 5	 3	   0.002119
 1	 8	 7	   0.001852
25	 2	 8	   0.001852
17	 1	14	   0.001852
17	 2	13	   0.001852
17	 3	 1	   0.001852
22	 3	12	   0.001852
23	 6	11	   0.001852
22	 1	12	   0.001852
21	 1	10	   0.001852
23	 2	12	   0.001852
 4	 6	 1	   0.001852
 4	 4	 1	   0.001852
 4	 1	 1	   0.001852
 6	 6	 5	   0.001852
 6	 7	 3	   0.001852
 6	 8	 3	   0.001852
 7	 4	15	   0.001852
 8	 6	 2	   0.001852
 9	 1	 1	   0.001852
 9	 2	 4	   0.001852
 3	 6	 4	   0.001852
 9	 4	12	   0.001852
 9	 6	 3	   0.001852
 3	 6	 2	   0.001852
10	10	 2	   0.001852
11	10	 2	   0.001852
13	 7	 7	   0.001852
14	 3	 3	   0.001852
14	 3	 9	   0.001852
14	 4	 2	   0.001852
14	 6	 4	   0.001852
14	 7	 2	   0.001852
